Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Country_copy,Area (sq. mi.),Pop. Density (per sq. mi.)
63,0,2011,45.2,65.9,257.0865,1.67,91,58,23.7,91,91,0.93,1580,25.39,6.9,6.8,6.8,0,1,61.4,Ghana,239460.0,106.03023469472981
128,1,2001,28.2,36.9,214.2685,4.53,45,19,22.3,76,79,0.01,1847,79.67,1.0,9.7,7.7,0,1,68.8,Philippines,300000.0,265.56666666666666
38,0,2003,64.6,100.2,406.702,0.9,71,64,22.3,50,50,2.23,2072,3.41,9.1,8.8,5.7,0,1,53.8,"Congo,Rep.",342000.0,9.970760233918128
97,0,2011,45.8,67.0,237.6755,0.89,73,64,21.1,73,73,0.15,464,21.74,7.5,7.4,6.1,0,1,63.8,Madagascar,587040.0,37.03325156718452
53,3,2004,6.2,7.8,194.0975,15.52,90,97,25.8,95,94,0.08,13283,1.36,2.2,2.3,12.0,1,0,71.9,Estonia,45226.0,30.07119798346084
16,2,2013,14.6,16.9,179.144,6.6,95,92,28.7,95,95,0.39,4667,0.35,3.4,3.4,10.5,0,1,73.5,Belize,22966.0,15.23991988156405
84,1,2006,25.6,29.0,270.9885,6.76,99,99,25.8,99,99,0.08,7838,15.31,2.4,2.5,11.7,0,1,66.2,Kazakhstan,2717300.0,5.634269311448865
29,0,2015,57.0,88.0,340.1265,4.55,84,64,24.3,77,84,1.12,1383,23.3,5.6,5.5,6.1,0,1,57.6,Cameroon,475440.0,49.00723540299512
83,4,2006,19.2,22.5,121.011,0.55,98,88,28.3,98,98,0.13,4516,5.99,3.9,3.8,9.8,0,1,72.8,Jordan,92300.0,64.89707475622969
178,0,2009,54.0,91.3,551.9115,2.77,73,64,23.6,69,73,7.31,941,12.53,7.5,7.4,7.2,0,1,48.4,Zimbabwe,390580.0,32.08049567310154
18,1,2005,44.7,57.5,253.2655,0.73,95,76,22.8,95,95,0.19,1489,0.65,17.8,18.6,2.3,0,1,65.3,Bhutan,47000.0,13.829787234042554
154,7,2010,3.9,4.6,56.9105,10.01,88,83,25.1,96,95,0.06,82027,7.82,0.5,0.4,13.3,1,0,82.2,Switzerland,41290.0,189.39210462581738
147,0,2006,48.7,79.2,515.718,7.3,83,53,26.6,79,82,11.13,5827,48.49,1.6,12.8,9.0,0,1,53.8,SouthAfrica,1219912.0,39.74876876364853
83,4,2012,16.2,19.0,113.2855,0.36,98,96,28.7,98,98,0.13,4387,8.09,3.9,3.9,9.9,0,1,73.7,Jordan,92300.0,87.6489707475623
52,0,2012,36.8,51.2,274.029,1.03,94,88,20.6,94,94,0.18,699,3.28,8.7,8.6,3.9,0,1,63.2,Eritrea,121320.0,27.0359380151665
62,3,2010,3.5,4.2,77.604,11.58,88,93,26.3,94,95,0.03,37761,81.78,1.1,1.1,13.8,1,0,80.0,Germany,357021.0,229.0621560076298
137,4,2014,8.3,9.6,89.12,0.0,98,98,28.3,98,98,0.13,20328,30.92,7.7,7.5,9.5,0,1,74.5,SaudiArabia,1960582.0,15.770827233954
86,6,2004,49.4,64.6,214.7745,0.49,67,34,29.1,61,62,0.17,1488,0.09,0.2,0.2,7.2,0,1,64.2,Kiribati,811.0,110.97410604192355
140,0,2011,12.2,14.2,154.4505,7.83,99,99,26.3,99,99,3.5,13664,0.09,5.7,6.1,8.4,0,1,72.7,Seychelles,455.0,197.8021978021978
97,0,2012,44.6,64.8,232.446,0.85,68,64,21.1,71,70,0.18,465,22.35,7.4,7.3,6.1,0,1,64.3,Madagascar,587040.0,38.07236304170073
142,1,2014,2.2,2.7,52.393,1.84,96,90,23.6,96,96,0.08,54683,5.47,2.2,2.2,11.4,0,1,82.5,Singapore,693.0,7893.217893217893
160,0,2008,61.4,94.4,318.7475,1.44,82,64,22.9,80,81,1.45,456,6.08,7.7,7.6,4.3,0,1,56.2,Togo,56785.0,107.0705291890464
45,3,2009,3.6,4.2,85.8135,10.08,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0,78.6,Denmark,43094.0,128.09207778345012
60,0,2015,39.7,59.8,261.7065,2.69,97,64,23.9,96,97,0.96,661,2.09,7.3,7.2,3.4,0,1,60.9,"Gambia,The",11300.0,184.95575221238937
39,2,2014,7.9,9.3,87.237,3.12,91,90,27.2,91,91,0.19,11355,4.8,1.7,1.7,8.6,0,1,79.4,CostaRica,51100.0,93.9334637964775
16,2,2010,16.2,18.9,181.584,6.47,96,91,28.4,96,96,0.37,4768,0.32,3.5,3.4,10.5,0,1,72.1,Belize,22966.0,13.933641034572847
153,3,2010,2.5,3.1,57.492,7.38,61,94,25.8,98,98,0.08,48370,9.38,1.3,1.3,12.3,1,0,81.5,Sweden,449964.0,20.84611213341512
8,3,2014,3.1,3.8,65.815,12.4,98,87,25.5,98,98,0.08,44245,8.55,1.8,2.0,12.1,1,0,81.5,Austria,83870.0,101.9434839632765
88,1,2012,23.2,26.1,183.8625,5.98,96,65,26.1,94,96,0.14,994,5.61,3.2,3.3,10.7,0,1,70.0,KyrgyzRepublic,198500.0,28.261964735516372
65,2,2013,13.8,15.8,143.8315,7.81,97,85,26.7,98,97,0.4,8067,0.11,3.8,3.8,8.5,0,1,72.6,Grenada,344.0,319.7674418604651
23,1,2010,7.9,9.7,91.9455,0.25,96,93,26.4,99,95,0.1,33437,0.39,5.9,5.4,8.8,0,1,74.7,BruneiDarussalam,5770.0,67.59098786828423
64,3,2009,3.4,3.9,75.948,8.32,95,77,27.0,99,99,0.09,22839,11.11,0.8,0.7,10.1,1,0,80.2,Greece,131940.0,84.20494164013945
121,7,2010,2.7,3.3,64.862,6.59,88,97,26.4,93,93,0.04,72427,4.89,0.7,0.7,12.7,1,0,81.0,Norway,323802.0,15.101821483499176
171,8,2006,11.7,13.5,116.762,6.45,95,93,26.3,95,95,0.2,10575,3.33,1.6,1.6,8.0,0,1,76.0,Uruguay,176220.0,18.896833503575078
41,3,2006,5.5,6.4,109.298,10.98,96,98,26.2,96,96,0.02,11960,4.31,1.8,1.8,9.9,1,0,75.8,Croatia,56542.0,76.22652187754235
132,3,2008,11.9,14.0,151.8615,12.38,97,95,25.8,95,96,0.04,8280,20.54,3.1,3.5,10.6,1,0,72.6,Romania,237500.0,86.48421052631579
31,0,2011,96.7,140.5,463.613,1.97,47,64,22.5,47,47,1.78,550,4.42,8.8,8.8,3.7,0,1,48.0,CentralAfricanRepublic,622984.0,7.094885261900787
2,0,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,0,1,76.1,Algeria,2381740.0,16.681081898108104
176,4,2011,45.3,58.5,231.9445,0.04,69,95,23.4,69,69,0.03,2311,23.81,13.7,13.6,2.8,0,1,65.8,"Yemen,Rep.",527970.0,45.097259313976174
6,7,2009,17.2,19.2,139.3615,3.97,93,96,26.0,94,93,0.08,2884,2.89,2.0,2.1,11.1,0,1,73.1,Armenia,29800.0,96.97986577181209
178,0,2004,51.2,92.4,686.639,2.48,68,64,23.4,67,65,9.75,1212,12.02,9.4,9.4,6.8,0,1,43.1,Zimbabwe,390580.0,30.774745250652874
151,2,2003,19.0,21.7,179.187,5.47,99,83,25.8,99,99,0.4,6075,0.11,3.8,3.8,7.8,0,1,71.1,St.VincentandtheGrenadines,389.0,282.7763496143959
85,0,2007,43.7,68.0,345.5865,1.2,81,28,22.6,76,81,2.73,1287,38.71,8.4,8.3,6.0,0,1,57.5,Kenya,582650.0,66.43782716896936
106,6,2003,29.0,35.2,180.9535,3.16,89,65,28.9,88,92,0.17,3035,0.11,0.2,0.2,5.5,0,1,65.1,"Micronesia,Fed.Sts.",702.0,156.6951566951567
4,2,2004,11.0,13.5,148.5575,6.72,97,64,25.5,97,97,0.1,14400,0.08,3.5,3.4,9.1,0,1,74.8,AntiguaandBarbuda,443.0,180.58690744920995
114,1,2007,41.9,53.4,191.5375,0.2,82,65,21.4,82,82,0.17,643,26.38,17.2,17.8,3.0,0,1,66.3,Nepal,147181.0,179.23509148599345
95,3,2005,7.3,9.0,222.069,12.42,95,95,26.2,93,94,0.06,9766,3.32,3.0,3.1,11.8,1,0,71.3,Lithuania,65200.0,50.920245398773005
173,6,2003,23.5,28.1,168.7145,0.88,64,65,25.6,67,69,0.17,2519,0.2,1.6,1.6,6.5,0,1,68.0,Vanuatu,12200.0,16.39344262295082
0,1,2000,90.5,129.2,310.8305,0.02,62,12,21.7,24,24,0.02,148,20.78,2.3,2.5,2.2,0,1,55.8,Afghanistan,647500.0,32.092664092664094
